City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
197,kaedi,16.1465,-13.5047,95.11,22,0,6.13,MR,2023-10-29 15:23:50
198,bardai,11.65,7.2333,78.75,22,33,8.08,NG,2023-10-29 15:23:50
199,sitka,57.0531,-135.33,46.29,66,0,3.44,US,2023-10-29 15:23:50
200,camapua,-19.5314,-54.0439,98.67,27,66,16.04,BR,2023-10-29 15:23:50
201,alofi,-19.0595,-169.9187,67.89,100,75,14.97,NU,2023-10-29 15:23:51
202,reggane,26.7158,0.1714,88.45,13,3,6.13,DZ,2023-10-29 15:23:51
203,lukolela,-1.0605,17.1821,76.87,76,76,1.61,CD,2023-10-29 15:23:51
204,nuuk,64.1835,-51.7216,30.81,80,100,19.57,GL,2023-10-29 15:19:59
205,haiku-pauwela,20.9219,-156.3051,82.42,61,20,17.27,US,2023-10-29 15:23:51
206,lompoc,34.6391,-120.4579,79.79,39,0,11.5,US,2023-10-29 15:23:52
207,raduzhny,62.0961,77.475,10.76,96,53,2.1,RU,2023-10-29 15:21:16
208,kolonia,50.9333,6.95,57.88,71,0,11.5,DE,2023-10-29 15:22:25
209,newman,37.3138,-121.0208,68.23,29,0,8.01,US,2023-10-29 15:23:52
210,zapata,26.9073,-99.2714,93.31,36,75,10.36,US,2023-10-29 15:23:52
211,preobrazheniye,42.9019,133.9064,43.16,51,10,6.49,RU,2023-10-29 15:23:52
212,codrington,-38.2667,141.9667,50.16,87,7,14.79,AU,2023-10-29 15:23:52
213,wailua homesteads,22.0669,-159.378,81.39,75,75,5.75,US,2023-10-29 15:23:53
214,sinabang,2.4803,96.3801,77.85,84,100,3.49,ID,2023-10-29 15:23:53
215,matoury,4.8483,-52.3317,89.56,62,0,11.5,GF,2023-10-29 15:23:53
216,salima,-13.7804,34.4587,82.42,43,6,2.59,MW,2023-10-29 15:23:53
217,aleksandriyskaya,44.2272,43.3453,64.92,93,99,3.15,RU,2023-10-29 15:23:53
218,jutai,-5.1833,-68.9,88.41,57,100,5.17,BR,2023-10-29 15:23:54
219,san patricio,28.017,-97.5169,90.18,53,64,13.56,US,2023-10-29 15:23:54
220,salalah,17.0151,54.0924,78.89,83,0,4.61,OM,2023-10-29 15:23:54
221,luau,-10.7073,22.2247,69.64,77,51,2.06,AO,2023-10-29 15:23:54
222,tual,-5.6667,132.75,81.59,80,100,8.05,ID,2023-10-29 15:23:54
223,meadow lake,34.8014,-106.5436,60.62,34,87,4.05,US,2023-10-29 15:23:54
224,kourou,5.1552,-52.6478,89.65,72,86,12.15,GF,2023-10-29 15:23:55
225,xinyuan,37.3,99.0,26.71,47,16,4.92,CN,2023-10-29 15:23:55
226,arraias,-12.9288,-46.9437,98.2,17,17,6.2,BR,2023-10-29 15:23:55
227,kuching,1.55,110.3333,81.01,94,40,2.3,MY,2023-10-29 15:23:55
228,kindu,-2.95,25.95,76.57,75,93,2.91,CD,2023-10-29 15:23:55
229,crixas,-14.5489,-49.9692,95.83,27,88,3.69,BR,2023-10-29 15:23:55
230,vila velha,-20.3297,-40.2925,80.55,74,0,18.41,BR,2023-10-29 15:23:56
231,kletskaya,49.3145,43.0584,46.44,82,33,7.36,RU,2023-10-29 15:23:56
232,takoradi,4.8845,-1.7554,79.38,84,31,7.18,GH,2023-10-29 15:23:56
233,talnakh,69.4865,88.3972,1.2,94,69,3.33,RU,2023-10-29 15:23:56
